price,propertyType,operation,size,rooms,bathrooms,province,municipality,district,country,distance,newDevelopment,hasLift,priceByArea,newDevelopmentFinished
3000.0,flat,rent,160.0,5,2,Barcelona,Barcelona,Eixample,es,1333.0,False,True,19.0,
1450.0,flat,rent,82.0,3,2,Barcelona,Barcelona,Les Corts,es,3020.0,False,True,18.0,
1600.0,flat,rent,72.0,2,1,Barcelona,Barcelona,Gràcia,es,2275.0,False,False,22.0,
3500.0,flat,rent,170.0,4,2,Barcelona,Barcelona,Ciutat Vella,es,287.0,False,False,21.0,
10000.0,duplex,rent,190.0,3,3,Barcelona,Barcelona,Sant Martí,es,4214.0,False,True,53.0,
1500.0,flat,rent,58.0,1,2,Barcelona,Barcelona,Sants-Montjuïc,es,1217.0,False,True,26.0,
1850.0,flat,rent,72.0,2,1,Barcelona,Barcelona,Ciutat Vella,es,1521.0,False,False,26.0,
1050.0,flat,rent,84.0,3,2,Barcelona,Barcelona,Sant Andreu,es,5954.0,False,True,13.0,
3900.0,chalet,rent,465.0,5,4,Barcelona,Sant Cugat del Vallès,Arxius,es,12142.0,False,True,8.0,
1300.0,flat,rent,50.0,2,1,Barcelona,Barcelona,Ciutat Vella,es,664.0,False,True,26.0,
1600.0,flat,rent,70.0,2,1,Barcelona,Barcelona,Gràcia,es,1975.0,False,True,23.0,
2400.0,duplex,rent,125.0,2,1,Barcelona,Barcelona,Gràcia,es,2103.0,False,True,19.0,
5500.0,chalet,rent,230.0,4,3,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,6043.0,False,True,24.0,
5000.0,flat,rent,212.0,3,3,Barcelona,Barcelona,Ciutat Vella,es,1111.0,False,True,24.0,
5900.0,penthouse,rent,124.0,3,3,Barcelona,Barcelona,Eixample,es,1156.0,False,True,48.0,
2100.0,flat,rent,103.0,2,2,Barcelona,Barcelona,Ciutat Vella,es,186.0,False,True,20.0,
950.0,flat,rent,65.0,2,1,Barcelona,Barcelona,Eixample,es,1651.0,False,False,15.0,
6500.0,chalet,rent,289.0,5,3,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,6253.0,False,True,22.0,
1800.0,flat,rent,81.0,3,2,Barcelona,Barcelona,Eixample,es,1671.0,False,True,22.0,
2000.0,flat,rent,118.0,3,2,Barcelona,Gavà,Gavà Mar,es,18276.0,False,True,17.0,
3600.0,chalet,rent,220.0,4,3,Barcelona,Alella,Mas Coll - Can Comulada,es,16138.0,False,True,16.0,
3300.0,flat,rent,121.0,2,1,Barcelona,Esplugues de Llobregat,Finestrelles,es,6395.0,False,True,27.0,
1600.0,flat,rent,80.0,2,1,Barcelona,Barcelona,Eixample,es,2208.0,False,True,20.0,
1900.0,flat,rent,75.0,2,1,Barcelona,Barcelona,Gràcia,es,4006.0,False,True,25.0,
1700.0,flat,rent,90.0,1,2,Barcelona,Barcelona,Ciutat Vella,es,784.0,False,False,19.0,
